Date,Mkt-RF,SMB,HML,RF,AppleR,MsftR,GoogleR,AmazR,NvdiaR,AppleR - RF,MsftR - RF,GoogleR - RF,AmazR - RF,NvdiaR - RF
20230502,-1.28,-0.53,-1.39,0.016,-0.0062,-0.0005,-0.0175,0.0155,-0.0242,-0.0222,-0.0165,-0.0335,-0.0005,-0.0402
20230501,-0.02,0.3,-0.78,0.016,-0.0005,-0.0055,-0.0013,-0.0322,0.0418,-0.0165,-0.0215,-0.0173,-0.0482,0.0258
20230428,0.77,0.15,0.17,0.018,0.0075,0.008,-0.0023,-0.0398,0.0192,-0.0105,-0.01,-0.0203,-0.0578,0.0012
20230427,1.85,-0.56,0.01,0.018,0.0284,0.032,0.0374,0.0461,0.01,0.0104,0.014,0.0194,0.0281,-0.008
20230426,-0.41,0.14,-0.75,0.018,-0.0001,0.0724,-0.0013,0.0235,0.0272,-0.0181,0.0544,-0.0193,0.0055,0.0092
20230425,-1.76,-0.99,0.11,0.018,-0.0094,-0.0225,-0.02,-0.0343,-0.0296,-0.0274,-0.0405,-0.038,-0.0523,-0.0476
20230424,0,-0.4,0.47,0.018,0.0019,-0.014,0.0053,-0.007,-0.0028,-0.0161,-0.032,-0.0127,-0.025,-0.0208
20230421,0.08,0.26,-0.91,0.018,-0.0098,-0.0012,0.0011,0.0303,0.0006,-0.0278,-0.0192,-0.0169,0.0123,-0.0174
20230420,-0.61,0.09,-0.26,0.018,-0.0058,-0.0081,0.0107,-0.0047,-0.0296,-0.0238,-0.0261,-0.0073,-0.0227,-0.0476
20230419,-0.04,0.28,0.4,0.018,0.007,0.0003,-0.0031,0.0196,0.0095,-0.011,-0.0177,-0.0211,0.0016,-0.0085
20230418,0.04,-0.43,-0.3,0.018,0.0075,-0.0015,-0.0139,-0.0043,0.0246,-0.0105,-0.0195,-0.0319,-0.0223,0.0066
20230417,0.33,0.79,-0.2,0.018,0.0001,0.0093,-0.0266,0.0022,0.0091,-0.0179,-0.0087,-0.0446,-0.0158,-0.0089
20230414,-0.23,-0.95,0.2,0.018,-0.0021,-0.0128,0.0134,0.0011,0.0111,-0.0201,-0.0308,-0.0046,-0.0169,-0.0069
20230413,1.39,0.36,-1.17,0.018,0.0341,0.0224,0.0267,0.0467,-0.0012,0.0161,0.0044,0.0087,0.0287,-0.0192
